Date,Open,High,Low,Close
07 Jul 2021,7517.3,7592.4,7493.75,7578.65
06 Jul 2021,7532.8,7591.55,7493.9,7511.5
05 Jul 2021,7474.9,7523.2,7457.5,7517.4
02 Jul 2021,7461.5,7463.95,7418.05,7438.8
01 Jul 2021,7496.05,7496.05,7430.3,7439.55
30 Jun 2021,7509.25,7522.4,7465.75,7474.8
29 Jun 2021,7530.65,7558.7,7455.05,7474.2
28 Jun 2021,7519.35,7535.65,7480.35,7520.25
25 Jun 2021,7400.95,7485.5,7398.85,7477.3
24 Jun 2021,7409.8,7424.15,7335.2,7352.5
23 Jun 2021,7443.45,7452.75,7378.25,7384.4
22 Jun 2021,7467.2,7480.05,7375.8,7393.85
21 Jun 2021,7246.7,7421.1,7221.8,7410.15
18 Jun 2021,7467,7470.65,7144.15,7347.6
17 Jun 2021,7471.25,7568.2,7400.7,7432.4
16 Jun 2021,7625.2,7640.5,7517.75,7538.75
15 Jun 2021,7603.65,7656.15,7593,7623.8
14 Jun 2021,7600,7600.45,7384.65,7572
11 Jun 2021,7627.15,7653.4,7564.75,7604.75
10 Jun 2021,7517.45,7595.1,7500.6,7589.3
09 Jun 2021,7558.05,7626.7,7413.3,7469.7
08 Jun 2021,7547.35,7558.15,7441.55,7521.7
07 Jun 2021,7473.9,7537.2,7448,7513.55
04 Jun 2021,7363.1,7421,7338.15,7414.5
03 Jun 2021,7322,7355.65,7310.55,7347.35
02 Jun 2021,7155.75,7294.95,7145.5,7280.4
01 Jun 2021,7242.55,7250.1,7116.05,7164
31 May 2021,7215.35,7233.45,7171.7,7205.85
28 May 2021,7219.9,7232.55,7180,7200
27 May 2021,7138.6,7192.35,7100.15,7174.6
26 May 2021,7159.1,7180.05,7119.55,7124.35
25 May 2021,7193,7208.25,7111.55,7132.5
21 May 2021,7082.7,7110.15,7053.65,7093
20 May 2021,7053.3,7069.95,6974,7026.5
19 May 2021,7042.5,7094.9,7027,7046.6
18 May 2021,6988.5,7076.05,6981.95,7050
17 May 2021,6833.65,6924.9,6766.45,6911.7
14 May 2021,6957.55,6960.3,6731.45,6785.1
12 May 2021,7008.55,7028.4,6865.55,6905.1
11 May 2021,6859.35,7001.4,6826.05,6982.7
10 May 2021,6868.75,6932.4,6849.5,6918.1
07 May 2021,6857.45,6866.35,6795.95,6818.65
06 May 2021,6781,6839.1,6735.35,6830.7
05 May 2021,6748,6760.7,6681.6,6745.2
04 May 2021,6742.65,6823.4,6668.5,6685.85
03 May 2021,6657.25,6698.85,6604.3,6687.55
30 Apr 2021,6710.95,6821.5,6677.15,6725.2
29 Apr 2021,6825.5,6852.25,6728.5,6765.5
28 Apr 2021,6702.5,6785.1,6690.6,6773.55
27 Apr 2021,6588.7,6670.6,6581,6659.9
26 Apr 2021,6549.35,6581.85,6536.35,6565.05
23 Apr 2021,6503.25,6583.8,6462.25,6512.9
22 Apr 2021,6413.5,6514.05,6398.5,6506.95
20 Apr 2021,6520.6,6576.05,6417.1,6469.25
19 Apr 2021,6413.65,6455.65,6325.05,6441.7
16 Apr 2021,6574.85,6664.6,6552.2,6613.55
15 Apr 2021,6566.75,6620.3,6452.55,6562.6
13 Apr 2021,6454.6,6611.75,6423.2,6597.55
12 Apr 2021,6765.2,6769.05,6364.7,6417.65
09 Apr 2021,6946.75,6987.3,6880.9,6906.7
08 Apr 2021,6944.3,7007.35,6916.5,6941.8
07 Apr 2021,6833.15,6932.55,6814,6908.6
06 Apr 2021,6807.25,6855.45,6732.9,6816.4
05 Apr 2021,6905.95,6906.05,6654.25,6767.7
01 Apr 2021,6832.05,6930.25,6789.4,6917.35
31 Mar 2021,6766.55,6802.35,6732.45,6772.1
30 Mar 2021,6755.3,6779.5,6706.35,6761.8
26 Mar 2021,6632.9,6726.05,6628.85,6681.2
25 Mar 2021,6715.95,6720.15,6475.55,6550.95
24 Mar 2021,6833.1,6877.85,6678.9,6694.65
23 Mar 2021,6824.55,6882.45,6817.25,6862.7
22 Mar 2021,6752.3,6815.6,6713.95,6797.1
19 Mar 2021,6596.25,6772.3,6468.05,6753.25
18 Mar 2021,6808.9,6850.25,6580.2,6650.5
17 Mar 2021,6940.15,6953.85,6722.7,6741.85
16 Mar 2021,6952.65,6976.85,6905,6937.05
15 Mar 2021,7004.2,7004.2,6812.75,6926.95
12 Mar 2021,7059.4,7089.7,6931.45,6964.75
10 Mar 2021,6992.75,7019.8,6945.65,6996.95
09 Mar 2021,7020.45,7047.75,6870.9,6931.65
08 Mar 2021,7027.35,7061.1,6965.2,6977.6
05 Mar 2021,7138.3,7149.85,6913.15,6964.85
04 Mar 2021,7075.7,7208.9,7047,7165
03 Mar 2021,7097.65,7162.6,7081.45,7151.05
02 Mar 2021,6964.75,7046.45,6951.25,7033.05
01 Mar 2021,6859.3,6929.6,6827.15,6914
26 Feb 2021,6853.9,6934.7,6744.55,6796.5
25 Feb 2021,6893,6976,6890.65,6959.6
24 Feb 2021,6800.25,6828.2,6746.6,6815.4
23 Feb 2021,6698.95,6782.15,6638.2,6762.95
22 Feb 2021,6785.45,6812.65,6627.45,6665.85
19 Feb 2021,6916.2,6945.55,6688.75,6767.75
18 Feb 2021,6939.45,6972.65,6895.1,6927.15
17 Feb 2021,6876.05,6945.75,6862.15,6907.6
16 Feb 2021,6883.45,6922.25,6821.6,6885.5
15 Feb 2021,6781.85,6876.9,6765.55,6859.65
12 Feb 2021,6761.4,6795.6,6702.25,6739.1
11 Feb 2021,6732.7,6782.45,6723.5,6758.45
10 Feb 2021,6693.6,6769.15,6650.05,6749.95
09 Feb 2021,6721.45,6748.6,6642.05,6674.15
08 Feb 2021,-,-,-,6695.9
05 Feb 2021,6745.2,6771.4,6550.8,6581.4
04 Feb 2021,6596.7,6713.4,6559.8,6698.35
03 Feb 2021,6518.35,6642.9,6457.1,6584.6
02 Feb 2021,6349.45,6489.15,6345.6,6468.7
01 Feb 2021,-,-,-,6279.45
29 Jan 2021,6119.9,6160.75,5977.5,6002.65
28 Jan 2021,5971.5,6096.95,5968.85,6046.3
27 Jan 2021,6180.2,6181.15,6055.1,6069.15
25 Jan 2021,6326.1,6352.2,6120.45,6183.6
22 Jan 2021,6346.55,6399.9,6209.2,6244
21 Jan 2021,6486.4,6512.6,6291.5,6331.75
20 Jan 2021,6367.15,6444.1,6352.15,6437.15
19 Jan 2021,6209.05,6361.85,6207.7,6347.3
18 Jan 2021,6330.15,6331.6,6106.55,6164.4
15 Jan 2021,6404.2,6438,6252.45,6328.3
14 Jan 2021,6398.8,6424.55,6345.75,6390.9
13 Jan 2021,6472.35,6504.75,6275.3,6385.15
12 Jan 2021,6347.05,6460.1,6322.65,6427.7
11 Jan 2021,6420,6428.35,6302.3,6359.75
08 Jan 2021,6384.15,6410,6351.25,6389.7
07 Jan 2021,6252.25,6357.5,6245,6320.7
06 Jan 2021,6165.1,6233.15,6098.15,6191.7
05 Jan 2021,6051.05,6151.35,6020.2,6141.4
04 Jan 2021,6016.15,6091.7,5974.1,6086.25
01 Jan 2021,5885.65,5975.95,5883,5965.7
31 Dec 2020,5828.8,5882.4,5810.35,5872.6
30 Dec 2020,5841.25,5844.2,5775.3,5830.55
29 Dec 2020,5856.05,5876.65,5770.85,5814.15
28 Dec 2020,5780.8,5835.1,5776.25,5822.8
24 Dec 2020,5786.15,5821.3,5724.5,5741.45
23 Dec 2020,5614.05,5772.15,5596.1,5757.45
22 Dec 2020,5535.75,5621,5358.85,5598.5
21 Dec 2020,5836.55,5856.15,5427.5,5536.65
18 Dec 2020,5895.45,5915.75,5799.75,5861.5
17 Dec 2020,5911.55,5954.55,5866.8,5883.2
16 Dec 2020,5868.2,5921,5864,5905.9
15 Dec 2020,5792.3,5845.75,5726.75,5834.75
14 Dec 2020,5779.7,5799.55,5757.35,5789.9
11 Dec 2020,5741.65,5786.9,5699.2,5742.75
10 Dec 2020,5776.3,5776.3,5672.15,5724.45
09 Dec 2020,5798.2,5816.3,5770.2,5783.8
08 Dec 2020,5789.7,5805,5682.7,5758.3
07 Dec 2020,5710.3,5765.35,5705.65,5755.65
04 Dec 2020,5698.1,5737.45,5628.65,5696
03 Dec 2020,5656.4,5678.75,5639.95,5665.7
02 Dec 2020,5611.65,5641.4,5555.1,5613.6
01 Dec 2020,5604.35,5604.35,5543.15,5590.8
27 Nov 2020,5441.6,5580.1,5440.65,5557.9
26 Nov 2020,5355.7,5421.1,5313,5411.6
25 Nov 2020,5446.95,5459.2,5319.35,5334.45
24 Nov 2020,5399,5417.7,5381.55,5410.55
23 Nov 2020,5334.5,5373.15,5314.6,5365.55
20 Nov 2020,5277.55,5324.85,5230.75,5291.45
19 Nov 2020,5250.6,5377.45,5223.25,5245.8
18 Nov 2020,5177.15,5282.55,5171.3,5275.95
17 Nov 2020,5144.8,5193.05,5134.85,5188.05
14 Nov 2020,5143.2,5155.1,5104.25,5124.6
13 Nov 2020,5062.15,5111.2,5048.3,5105.7
12 Nov 2020,5048.25,5080.55,5033.85,5069.2
11 Nov 2020,5034.45,5073.8,4994.7,5048.55
10 Nov 2020,5003.8,5029.65,4955.85,5020.05
09 Nov 2020,4965.4,4984.75,4906.35,4979.35
06 Nov 2020,4891.05,4950.7,4881.8,4926.5
05 Nov 2020,4814.95,4891.2,4795.1,4882.45
04 Nov 2020,4749.4,4777.85,4713.1,4773.15
03 Nov 2020,4742.2,4767.8,4736.6,4748.45
02 Nov 2020,4686.25,4728.8,4647.25,4716.9
30 Oct 2020,4640.25,4707.85,4603.4,4666.05
29 Oct 2020,4613,4638.25,4579.65,4625.2
28 Oct 2020,4713.45,4732.6,4638.3,4648.8
27 Oct 2020,4657.35,4725,4601.85,4713.15
26 Oct 2020,4765.5,4765.5,4635.05,4650.5
23 Oct 2020,4747.1,4781.1,4729.6,4757.4
22 Oct 2020,4689.25,4733.5,4680.45,4725.15
21 Oct 2020,4707.05,4749.5,4637.05,4701.15
20 Oct 2020,4641.45,4695.55,4625.85,4690.5
19 Oct 2020,4643.2,4661.6,4605.95,4656.8
16 Oct 2020,4578.1,4618.75,4540.95,4613.55
15 Oct 2020,4664.45,4691.65,4537.2,4550.1
14 Oct 2020,4637.75,4659.95,4599.1,4649.45
13 Oct 2020,4686.95,4700.65,4635.9,4643.8
12 Oct 2020,4738.85,4760.35,4664.35,4688.65
09 Oct 2020,4745.85,4773.25,4720.95,4731.1
08 Oct 2020,4745.8,4773.2,4704.8,4735.05
07 Oct 2020,4739.4,4746,4693.35,4717.2
06 Oct 2020,4742.5,4755.6,4712.85,4738.65
05 Oct 2020,4743.05,4762.05,4692.35,4707.85
01 Oct 2020,4701.45,4737.25,4699.6,4722.15
30 Sep 2020,4693.4,4708.8,4656.55,4666.55
29 Sep 2020,4728.95,4738.3,4644.95,4678.7
28 Sep 2020,4581.85,4705.2,4574.7,4699.7
25 Sep 2020,4409.1,4545.65,4368,4534.95
24 Sep 2020,4439.7,4439.7,4349.65,4355.3
23 Sep 2020,4526.5,4553.8,4433.1,4486.45
22 Sep 2020,4569.55,4574.2,4419.9,4496.55
21 Sep 2020,4772.5,4782.35,4544.8,4572.85
18 Sep 2020,4809,4826.05,4752.7,4767.75
17 Sep 2020,4759.7,4797.3,4746.75,4788.7
16 Sep 2020,4781.75,4807.15,4764.95,4783.75
15 Sep 2020,4763.4,4784.75,4743.75,4770.05
14 Sep 2020,4691.5,4773.8,4689.25,4740.1
11 Sep 2020,4608.1,4650.85,4602.2,4644.85
10 Sep 2020,4604.95,4627.2,4544.35,4603.05
09 Sep 2020,4539.15,4581.65,4493.95,4567.5
08 Sep 2020,4679.6,4680.05,4566.8,4587
07 Sep 2020,4746.85,4764.95,4638.65,4665.85
