"","p","q","P","Q","AIC","BIC","AICc"
"26","0","0","4","1","-6.20733702864099","-6.07093241536187","-6.04429355038012"
"27","0","0","4","2","-6.20242384448399","-6.05552656864494","-5.97354101069652"
"28","0","0","4","3","-6.23937532444259","-6.08198538604361","-5.93336439548084"
"29","0","0","4","4","-6.24866577164722","-6.08078317068831","-5.85414522370201"
"30","0","0","4","5","-6.26744510191486","-6.08906983839601","-5.77293960740936"
"31","0","0","5","0","-6.26744510191486","-6.08906983839601","-5.77293960740936"
"32","0","0","5","1","-6.20418804319161","-6.04679810479264","-5.97530520940415"
"33","0","0","5","2","-6.19933579228847","-6.03145319132956","-5.89332486332672"
"34","0","0","5","3","-6.24546934075507","-6.06709407723623","-5.85094879280987"
"35","0","0","5","4","-6.26787101126909","-6.07900308519032","-5.7733655167636"
"36","0","0","5","5","-6.26397264177046","-6.06461205313175","-5.65791203570985"
"37","0","1","0","0","-6.26397264177046","-6.06461205313175","-5.65791203570985"
"38","0","1","0","1","-6.10683123555839","-6.0438752601988","-6.0744862220813"
"39","0","1","0","2","-6.0398530514736","-5.96640441355408","-5.97498818660874"
"40","0","1","0","3","-6.03447976422885","-5.95053846374939","-5.92607868021801"
"41","0","1","0","4","-6.03346321619951","-5.93902925316012","-5.87041973793864"
"42","0","1","0","5","-6.02178856344278","-5.91686193784346","-5.79290572965532"
"43","0","1","1","0","-6.02178856344278","-5.91686193784346","-5.79290572965532"
"44","0","1","1","1","-6.22893251613336","-6.1449912156539","-6.16406765126849"
"45","0","1","1","2","-6.22152258588049","-6.1270886228411","-6.11312150186965"
"46","0","1","1","3","-6.21661617051798","-6.11168954491866","-6.05357269225711"
"47","0","1","1","4","-6.22853134950068","-6.11311206134142","-5.99964851571321"
"48","0","1","1","5","-6.22522566587497","-6.09931371515579","-5.91921473691322"
"49","0","1","2","0","-6.22522566587497","-6.09931371515579","-5.91921473691322"
"50","0","1","2","1","-6.21676932087773","-6.11184269527841","-6.10836823686689"
"51","0","1","2","2","-6.21329499754183","-6.09787570938257","-6.05025151928096"
"52","0","1","2","3","-6.22404271913085","-6.09813076841167","-5.99515988534338"
"53","0","1","2","4","-6.21044353869025","-6.07403892541113","-5.9044326097285"
"54","0","1","2","5","-6.25514507049892","-6.10824779465987","-5.86062452255371"
"55","0","1","3","0","-6.25514507049892","-6.10824779465987","-5.86062452255371"
"56","0","1","3","1","-6.21910079238417","-6.09318884166499","-6.0560573141233"
"57","0","1","3","2","-6.21396454565149","-6.07755993237237","-5.98508171186402"
"58","0","1","3","3","-6.21468561100876","-6.06778833516971","-5.90867468204701"
"59","0","1","3","4","-6.23340342162733","-6.07601348322835","-5.83888287368212"
"60","0","1","3","5","-6.22860661460579","-6.06072401364688","-5.73410112010029"
"61","0","1","4","0","-6.22860661460579","-6.06072401364688","-5.73410112010029"
"62","0","1","4","1","-6.21821915894226","-6.07132188310321","-5.98933632515479"
"63","0","1","4","2","-6.21332838568528","-6.0559384472863","-5.90731745672353"
"64","0","1","4","3","-6.21753247571047","-6.04964987475156","-5.82301192776526"
"65","0","1","4","4","-6.2772240896971","-6.09884882617826","-5.78271859519161"
"66","0","1","4","5","-6.22038175016698","-6.03151382408821","-5.61432114410638"
"67","0","1","5","0","-6.22038175016698","-6.03151382408821","-5.61432114410638"
"68","0","1","5","1","-6.20669717949323","-6.03881457853432","-5.90068625053148"
"69","0","1","5","2","-6.20173882446324","-6.0233635609444","-5.80721827651804"
"70","0","1","5","3","-6.27791333388507","-6.0890454078063","-5.78340783937958"
"71","0","1","5","4","-6.26874982775064","-6.06938923911193","-5.66268922169003"
"72","0","1","5","5","-6.27563326292028","-6.06578001172164","-5.54635149496448"
"73","0","2","0","0","-6.27563326292028","-6.06578001172164","-5.54635149496448"
"74","0","2","0","1","-6.10584317100416","-6.03239453308464","-6.0409783061393"
"75","0","2","0","2","-6.03983140938281","-5.95589010890335","-5.93143032537197"
"76","0","2","0","3","-6.03663259930985","-5.94219863627047","-5.87358912104899"
"77","0","2","0","4","-5.4694110519688","-5.36448442636948","-5.24052821818134"
"78","0","2","0","5","-6.0239081480943","-5.90848885993505","-5.71789721913255"
"79","0","2","1","0","-6.0239081480943","-5.90848885993505","-5.71789721913255"
"80","0","2","1","1","-6.22263207330244","-6.12819811026306","-6.1142309892916"
"81","0","2","1","2","-6.2177353140429","-6.11280868844359","-6.05469183578203"
"82","0","2","1","3","-6.21134894770911","-6.09592965954986","-5.98246611392165"
"83","0","2","1","4","-6.2240493096176","-6.09813735889841","-5.91803838065585"
"84","0","2","1","5","-6.22073281708333","-6.08432820380422","-5.82621226913813"
"85","0","2","2","0","-6.22073281708333","-6.08432820380422","-5.82621226913813"
"86","0","2","2","1","-6.21244411963437","-6.09702483147512","-6.0494006413735"
"87","0","2","2","2","-6.20944023074599","-6.08352828002681","-5.98055739695853"
"88","0","2","2","3","-6.22133858345269","-6.08493397017357","-5.91532765449094"
"89","0","2","2","4","-6.21607741823327","-6.06918014239422","-5.82155687028806"
"90","0","2","2","5","-6.21112657135877","-6.05373663295979","-5.71662107685327"
"91","0","2","3","0","-6.21112657135877","-6.05373663295979","-5.71662107685327"
"92","0","2","3","1","-6.21493104119051","-6.07852642791139","-5.98604820740304"
"93","0","2","3","2","-6.20979136150515","-6.0628940856661","-5.9037804325434"
"94","0","2","3","3","-6.21125220758934","-6.05386226919036","-5.81673165964413"
"95","0","2","3","4","-6.23024470899196","-6.06236210803305","-5.73573921448646"
"96","0","2","3","5","-6.22337115003836","-6.04499588651952","-5.61731054397776"
"97","0","2","4","0","-6.22337115003836","-6.04499588651952","-5.61731054397776"
"98","0","2","4","1","-6.21412671880894","-6.05673678040996","-5.90811578984719"
"99","0","2","4","2","-6.20918249921088","-6.04129989825197","-5.81466195126568"
"100","0","2","4","3","-6.2620400827651","-6.08366481924626","-5.7675345882596"
"101","0","2","4","4","-6.25805812257049","-6.06919019649171","-5.65199751650988"
"102","0","2","4","5","-6.26076062904682","-6.06140004040811","-5.53147886109102"
"103","0","2","5","0","-6.26076062904682","-6.06140004040811","-5.53147886109102"
"104","0","2","5","1","-6.20136791896872","-6.02299265544988","-5.80684737102351"
"105","0","2","5","2","-6.19640652152663","-6.00753859544785","-5.70190102702113"
"106","0","2","5","3","-6.25187350325944","-6.05251291462073","-5.64581289719883"
"107","0","2","5","4","-6.24148893109553","-6.03163567989689","-5.51220716313973"
"108","0","2","5","5","-6.2711535508277","-6.05080763706913","-5.40688762284986"
"109","0","3","0","0","-6.2711535508277","-6.05080763706913","-5.40688762284986"
"110","0","3","0","1","-6.10348954101847","-6.01954824053902","-5.99508845700763"
"111","0","3","0","2","-6.03442199257127","-5.93998802953189","-5.8713785143104"
"112","0","3","0","3","-6.03309827195169","-5.92817164635237","-5.80421543816422"
"113","0","3","0","4","-6.03309827195169","-5.92817164635237","-5.80421543816422"
"114","0","3","0","5","-6.01999017349724","-5.89407822277806","-5.62546962555204"
"115","0","3","1","0","-6.01999017349724","-5.89407822277806","-5.62546962555204"
"116","0","3","1","1","-6.21116969130778","-6.10624306570846","-6.04812621304691"
"117","0","3","1","2","-6.20647919228607","-6.09105990412682","-5.97759635849861"
"118","0","3","1","3","-6.2100543593137","-6.08414240859452","-5.90404343035195"
