,p,q,P,Q,AIC,BIC,AICc
70,0,1,5,3,-6.31593499021344,-6.17384216571983,-5.82142949570795
71,0,1,5,4,-6.31351044046283,-6.16048739870048,-5.70744983440223
72,0,1,5,5,-6.31176722827011,-6.14781396923902,-5.58248546031431
73,0,2,0,0,-6.31176722827011,-6.14781396923902,-5.58248546031431
74,0,2,0,1,-6.27813259802414,-6.20162107714296,-6.21326773315927
75,0,2,0,2,-6.272386730105,-6.18494499195508,-6.16398564609416
76,0,2,0,3,-6.26688300959949,-6.16851105418083,-6.10383953133862
77,0,2,0,4,-6.2612713507049,-6.15196917801751,-6.03238851691743
78,0,2,0,5,-6.25570176426146,-6.13546937430533,-5.94969083529972
79,0,2,1,0,-6.31961835268779,-6.24310683180661,-6.25475348782293
80,0,2,1,1,-6.35534015559753,-6.26789841744761,-6.24693907158669
81,0,2,1,2,-6.35529753765418,-6.25692558223552,-6.19225405939331
82,0,2,1,3,-6.34763538200703,-6.23833320931964,-6.11875254821957
83,0,2,1,4,-6.3338647168298,-6.21363232687367,-6.02785378786805
84,0,2,1,5,-6.33183342329865,-6.20067081607378,-5.93731287535345
85,0,2,2,0,-6.32814691750615,-6.24070517935623,-6.21974583349531
86,0,2,2,1,-6.34968987531408,-6.25131791989542,-6.18664639705321
87,0,2,2,2,-6.34964778437264,-6.24034561168524,-6.12076495058517
88,0,2,2,3,-6.34256434334342,-6.22233195338728,-6.03655341438167
89,0,2,2,4,-6.32996165158031,-6.19879904435544,-5.9354411036351
90,0,2,2,5,-6.32753541745081,-6.1854425929572,-5.83302992294532
91,0,2,3,0,-6.32046844441784,-6.22209648899918,-6.15742496615697
92,0,2,3,1,-6.33675309064264,-6.22745091795524,-6.10787025685517
93,0,2,3,2,-6.33490607729924,-6.2146736873431,-6.02889514833749
94,0,2,3,3,-6.33691462061235,-6.20575201338748,-5.94239407266715
95,0,2,3,4,-6.32951649300905,-6.18742366851544,-5.83501099850355
96,0,2,3,5,-6.32999239880752,-6.17696935704517,-5.72393179274691
97,0,2,4,0,-6.33741223265846,-6.22811005997106,-6.10852939887099
98,0,2,4,1,-6.32237346554642,-6.20214107559029,-6.01636253658467
99,0,2,4,2,-6.32235178057573,-6.19118917335086,-5.92783123263053
100,0,2,4,3,-6.33098448403109,-6.18889165953748,-5.8364789895256
101,0,2,4,4,-6.32460686962584,-6.17158382786349,-5.71854626356523
102,0,2,4,5,-6.32537728982585,-6.16142403079476,-5.59609552187005
103,0,2,5,0,-6.3338474393212,-6.21361504936507,-6.02783651035945
104,0,2,5,1,-6.31613000512526,-6.18496739790038,-5.92160945718005
105,0,2,5,2,-6.31690018431962,-6.17480735982601,-5.82239468981413
106,0,2,5,3,-6.3250127035262,-6.17198966176384,-5.71895209746559
107,0,2,5,4,-6.31860837736475,-6.15465511833366,-5.58932660940895
108,0,2,5,5,-6.31972756983378,-6.14484409353395,-5.45546164185594
109,0,3,0,0,-6.31972756983378,-6.14484409353395,-5.45546164185594
110,0,3,0,1,-6.27499828542122,-6.18755654727131,-6.16659720141038
111,0,3,0,2,-6.26927986170866,-6.17090790629001,-6.10623638344779
112,0,3,0,3,-6.26358642766823,-6.15428425498084,-6.03470359388076
113,0,3,0,4,-6.25797573062631,-6.13774334067018,-5.95196480166456
114,0,3,0,5,-6.25260762184066,-6.12144501461579,-5.85808707389545
115,0,3,1,0,-6.29976647549436,-6.21232473734444,-6.19136539148352
116,0,3,1,1,-6.345164566436,-6.24679261101734,-6.18212108817513
117,0,3,1,2,-6.34306285385732,-6.23376068116993,-6.11418002006986
118,0,3,1,3,-6.34544905245815,-6.22521666250201,-6.0394381234964
119,0,3,1,4,-6.33432493752618,-6.2031623303013,-5.93980438958097
120,0,3,1,5,-6.33261900597049,-6.19052618147687,-5.83811351146499
121,0,3,2,0,-6.30855158463088,-6.21017962921222,-6.14550810637001
122,0,3,2,1,-6.33951480457616,-6.23021263188876,-6.11063197078869
123,0,3,2,2,-6.33741326756647,-6.21718087761033,-6.03140233860472
124,0,3,2,3,-6.34048111500901,-6.20931850778414,-5.94596056706381
125,0,3,2,4,-6.33042314568898,-6.18833032119537,-5.83591765118349
126,0,3,2,5,-6.32938672223857,-6.17636368047622,-5.72332611617797
127,0,3,3,0,-6.31506086497988,-6.20575869229249,-6.08617803119241
