,p,q,P,Q,AIC,BIC,AICc
32,0,0,5,1,-6.13802742976699,-6.02872525707959,-5.90914459597952
33,0,0,5,2,-6.13404433955039,-6.01381194959426,-5.82803341058864
34,0,0,5,3,-6.13723317318025,-6.00607056595538,-5.74271262523505
35,0,0,5,4,-6.13158345096145,-5.98949062646783,-5.63707795645595
36,0,0,5,5,-6.13358389334878,-5.98056085158643,-5.52752328728818
37,0,1,0,0,-6.13358389334878,-5.98056085158643,-5.52752328728818
38,0,1,0,1,-6.05306022865058,-5.98747892503814,-6.02071521517349
39,0,1,0,2,-6.04766559116086,-5.97115407027969,-5.982800726296
40,0,1,0,3,-6.04228193723474,-5.95484019908482,-5.9338808532239
41,0,1,0,4,-6.03662823255442,-5.93825627713577,-5.87358475429355
42,0,1,0,5,-6.0314422616636,-5.92214008897621,-5.80255942787614
43,0,1,1,0,-6.06675354811973,-6.00117224450729,-6.03440853464264
44,0,1,1,1,-6.18621013067858,-6.1096986097974,-6.12134526581371
45,0,1,1,2,-6.17984956534555,-6.09240782719563,-6.07144848133471
46,0,1,1,3,-6.15388382599906,-6.0555118705804,-5.99084034773819
47,0,1,1,4,-6.14513253950626,-6.03583036681886,-5.91624970571879
48,0,1,1,5,-6.14635072828878,-6.02611833833265,-5.84033979932703
49,0,1,2,0,-6.12204939957534,-6.04553787869417,-6.05718453471048
50,0,1,2,1,-6.17699828614839,-6.08955654799847,-6.06859720213755
51,0,1,2,2,-6.17419982542579,-6.07582787000714,-6.01115634716492
52,0,1,2,3,-6.15063400679437,-6.04133183410697,-5.9217511730069
53,0,1,2,4,-6.14765652009856,-6.02742413014243,-5.84164559113681
54,0,1,2,5,-6.14102672528781,-6.00986411806294,-5.74650617734261
55,0,1,3,0,-6.11275699629915,-6.02531525814923,-6.00435591228831
56,0,1,3,1,-6.15196898603825,-6.0535970306196,-5.98892550777738
57,0,1,3,2,-6.14908188347713,-6.03977971078974,-5.92019904968966
58,0,1,3,3,-6.14742869186947,-6.02719630191334,-5.84141776290772
59,0,1,3,4,-6.14383882698633,-6.01267621976146,-5.74931827904113
60,0,1,3,5,-6.13858999186906,-5.99649716737544,-5.64408449736356
61,0,1,4,0,-6.13113470094007,-6.03276274552141,-5.9680912226792
62,0,1,4,1,-6.14279614918444,-6.03349397649705,-5.91391331539698
63,0,1,4,2,-6.14017275142915,-6.01994036147302,-5.8341618224674
64,0,1,4,3,-6.1452117695212,-6.01404916229632,-5.75069122157599
65,0,1,4,4,-6.14229898253683,-6.00020615804322,-5.64779348803134
66,0,1,4,5,-6.13646613902696,-5.98344309726461,-5.53040553296635
67,0,1,5,0,-6.1155074812268,-6.00620530853941,-5.88662464743934
68,0,1,5,1,-6.13546057130207,-6.01522818134594,-5.82944964234033
69,0,1,5,2,-6.13238381012619,-6.00122120290131,-5.73786326218098
70,0,1,5,3,-6.13516562714535,-5.99307280265174,-5.64066013263986
71,0,1,5,4,-6.12951590416169,-5.97649286239934,-5.52345529810109
72,0,1,5,5,-6.130816423701,-5.96686316466991,-5.4015346557452
73,0,2,0,0,-6.130816423701,-5.96686316466991,-5.4015346557452
74,0,2,0,1,-6.05214658995134,-5.97563506907016,-5.98728172508647
75,0,2,0,2,-6.04624802094908,-5.95880628279917,-5.93784693693824
76,0,2,0,3,-6.04104854767621,-5.94267659225756,-5.87800506941534
77,0,2,0,4,-6.03556460374671,-5.92626243105931,-5.80668176995924
78,0,2,0,5,-6.03015211693916,-5.90991972698302,-5.72414118797741
79,0,2,1,0,-6.05906670406912,-5.98255518318794,-5.99420183920425
80,0,2,1,1,-6.18348940147137,-6.09604766332145,-6.07508831746053
81,0,2,1,2,-6.18123295902382,-6.08286100360517,-6.01818948076295
82,0,2,1,3,-6.15295354069918,-6.04365136801179,-5.92407070691171
83,0,2,1,4,-6.14298435729501,-6.02275196733888,-5.83697342833327
84,0,2,1,5,-6.14488076506521,-6.01371815784034,-5.75036021712001
85,0,2,2,0,-6.11709667621262,-6.0296549380627,-6.00869559220178
86,0,2,2,1,-6.1778394221848,-6.07946746676614,-6.01479594392393
