,p,q,P,Q,AIC,BIC,AICc
73,0,2,0,0,-5.91012712841173,-5.74582961891032,-5.18084536045593
74,0,2,0,1,-5.91012712841173,-5.74582961891032,-5.18084536045593
75,0,2,0,2,-5.90986768596319,-5.82224234756244,-5.80146660195236
76,0,2,0,3,-5.90431898122814,-5.80574047552729,-5.74127550296727
77,0,2,0,4,-5.89872786174713,-5.78919618874619,-5.66984502795966
78,0,2,0,5,-5.89328368612357,-5.77279884582253,-5.58727275716182
79,0,2,1,0,-5.92355269793006,-5.8468805268294,-5.8586878330652
80,0,2,1,1,-5.94381761909532,-5.85619228069456,-5.83541653508448
81,0,2,1,2,-5.93815192795757,-5.83957342225672,-5.7751084496967
82,0,2,1,3,-5.92812448977711,-5.81859281677617,-5.69924165598965
83,0,2,1,4,-5.92270322351426,-5.80221838321322,-5.61669229455251
84,0,2,1,5,-5.91805324705099,-5.78661523944986,-5.52353269910579
85,0,2,2,0,-5.93378537835185,-5.84616003995109,-5.82538429434101
86,0,2,2,1,-5.93817800344648,-5.83959949774563,-5.77513452518561
87,0,2,2,2,-5.93251235774746,-5.82298068474652,-5.70362952396
88,0,2,2,3,-5.93036041307191,-5.80987557277088,-5.62434948411016
89,0,2,2,4,-5.92501716658666,-5.79357915898553,-5.53049661864146
90,0,2,2,5,-5.91870027261291,-5.77630909771169,-5.42419477810742
91,0,2,3,0,-5.92590253942931,-5.82732403372846,-5.76285906116844
92,0,2,3,1,-5.93021062390875,-5.8206789509078,-5.70132779012128
93,0,2,3,2,-5.92743702404352,-5.80695218374248,-5.62142609508177
94,0,2,3,3,-5.92469469206969,-5.79325668446856,-5.53017414412448
95,0,2,3,4,-5.91935143748928,-5.77696026258805,-5.42484594298378
96,0,2,3,5,-5.91303456858568,-5.75969022638436,-5.30697396252507
97,0,2,4,0,-5.93034541304478,-5.82081374004384,-5.70146257925731
98,0,2,4,1,-5.9296618627439,-5.80917702244286,-5.62365093378215
99,0,2,4,2,-5.92399613086128,-5.79255812326015,-5.52947558291608
100,0,2,4,3,-5.91994457682332,-5.77755340192209,-5.42543908231782
101,0,2,4,4,-5.91500658966138,-5.76166224746006,-5.30894598360078
