,p,q,P,Q,AIC,BIC,AICc
182,0,5,0,1,-5.63709295290201,-5.52779078021461,-5.40821011911454
183,0,5,0,2,-5.63419114544219,-5.51395875548606,-5.32818021648044
184,0,5,0,3,-5.62845114128954,-5.49728853406467,-5.23393059334433
185,0,5,0,4,-5.62287842689674,-5.48078560240313,-5.12837293239124
186,0,5,0,5,-5.6170644581666,-5.46404141640425,-5.011003852106
187,0,5,1,0,-5.65916760329768,-5.54986543061028,-5.43028476951021
188,0,5,1,1,-5.68636665465239,-5.56613426469625,-5.38035572569064
189,0,5,1,2,-5.68218354161163,-5.55102093438675,-5.28766299366642
190,0,5,1,3,-5.68294053800332,-5.54084771350971,-5.18843504349783
191,0,5,1,4,-5.67786075302319,-5.52483771126084,-5.07180014696259
192,0,5,1,5,-5.67221102397249,-5.50825776494139,-4.94292925601668
193,0,5,2,0,-5.66541457851827,-5.54518218856213,-5.35940364955652
194,0,5,2,1,-5.68071687625987,-5.54955426903499,-5.28619632831466
195,0,5,2,2,-5.67653394242211,-5.5344411179285,-5.18202844791662
196,0,5,2,3,-5.67729082669663,-5.52426778493428,-5.07123022063602
197,0,5,2,4,-5.67392067893102,-5.50996741989992,-4.94463891097521
198,0,5,2,5,-5.66880802310285,-5.49392454680301,-4.80454209512501
199,0,5,3,0,-5.66067522003636,-5.52951261281148,-5.26615467209115
200,0,5,3,1,-5.67506712801943,-5.53297430352582,-5.18056163351394
201,0,5,3,2,-5.67088407571437,-5.51786103395202,-5.06482346965377
202,0,5,3,3,-5.67164110581487,-5.50768784678378,-4.94235933785907
203,0,5,3,4,-5.66827095620075,-5.49338747990092,-4.80400502822291
204,0,5,3,5,-5.66262123618834,-5.47680754261977,-4.65151012507723
205,0,5,4,0,-5.66919387848586,-5.52710105399225,-5.17468838398036
206,0,5,4,1,-5.67116550338176,-5.51814246161941,-5.06510489732116
207,0,5,4,2,-5.66744593307735,-5.50349267404626,-4.93816416512155
208,0,5,4,3,-5.66741509918008,-5.49253162288025,-4.80314917120224
209,0,5,4,4,-5.66488644248347,-5.4790727489149,-4.65377533137236
210,0,5,4,5,-5.66138741660594,-5.46464350576863,-4.49147098206555
211,0,5,5,0,-5.67047572338311,-5.51745268162076,-5.06441511732251
212,0,5,5,1,-5.66551575916053,-5.50156250012944,-4.93623399120473
213,0,5,5,2,-5.66179620551475,-5.48691272921492,-4.79753027753691
214,0,5,5,3,-5.66178384686577,-5.4759701532972,-4.65067273575466
215,0,5,5,4,-5.65936658390883,-5.46262267307152,-4.48945014936844
216,0,5,5,5,-5.65776314923205,-5.450089021126,-4.31698102632702
217,1,0,0,0,-5.65776314923205,-5.450089021126,-4.31698102632702
218,1,0,0,1,-5.64997545152175,-5.58439414790932,-5.61763043804467
219,1,0,0,2,-5.64997545152175,-5.58439414790932,-5.61763043804467
220,1,0,0,3,-5.64034246279175,-5.55290072464183,-5.53194137878091
221,1,0,0,4,-5.63528861468799,-5.53691665926934,-5.47224513642712
222,1,0,0,5,-5.6297691780628,-5.52046700537541,-5.40088634427534
223,1,0,1,0,-5.68012109310793,-5.61453978949549,-5.64777607963084
224,1,0,1,1,-5.71229050287214,-5.63577898199096,-5.64742563800727
225,1,0,1,2,-5.70640279230828,-5.61896105415836,-5.59800170829744
226,1,0,1,3,-5.69609502315316,-5.5977230677345,-5.53305154489229
227,1,0,1,4,-5.68891399960781,-5.57961182692042,-5.46003116582035
228,1,0,1,5,-5.68462216730103,-5.5643897773449,-5.37861123833929
229,1,0,2,0,-5.68941283582527,-5.6129013149441,-5.62454797096041
230,1,0,2,1,-5.70459096633295,-5.61714922818303,-5.59618988232211
231,1,0,2,2,-5.70075309227147,-5.60238113685282,-5.5377096140106
232,1,0,2,3,-5.69195188693862,-5.58264971425122,-5.46306905315115
233,1,0,2,4,-5.6892370968547,-5.56900470689857,-5.38322616789295
234,1,0,2,5,-5.68244874254596,-5.55128613532109,-5.28792819460076
235,1,0,3,0,-5.67845459737557,-5.59101285922565,-5.57005351336473
236,1,0,3,1,-5.69030392030884,-5.59193196489019,-5.52726044204797
237,1,0,3,2,-5.68621282846112,-5.57691065577372,-5.45732999467365
238,1,0,3,3,-5.68630218046598,-5.56606979050985,-5.38029125150423
239,1,0,3,4,-5.68358737731901,-5.55242477009413,-5.2890668293738
240,1,0,3,5,-5.67679902473341,-5.5347062002398,-5.18229353022791
241,1,0,4,0,-5.6823811870705,-5.58400923165185,-5.51933770880964
242,1,0,4,1,-5.68212493020072,-5.57282275751332,-5.45324209641325
243,1,0,4,2,-5.67762290687552,-5.55739051691939,-5.37161197791378
244,1,0,4,3,-5.67894934143855,-5.54778673421367,-5.28442879349334
245,1,0,4,4,-5.67913073897221,-5.53703791447859,-5.18462524446671
246,1,0,4,5,-5.67191700071273,-5.51889395895038,-5.06585639465213
